
new,2023,MAY 22,"/map/search/","Add Your Location to Collection"
new,2023,MAY 22,"/map/profile/","The Collection of Your Location"
new,2022,AUG 17,"/map/heard/bnaaltermuseum/","things that i (we) heard around BnA Alter Museum"
new,2022,JUN 6,"/map/heard/otobuilding/","things that i (we) heard around OTO building"
new,2022,MAY 22,"/map/heard/","私（わたしたち）が聞いた言葉"
new,2021,NOV 1,"/map/","Go Out ← goout.pe.hu"

new,2022,APR 26,"/value/gallery/","valuing an act of valuing"
new,2021,NOV 23,"/value/","大切にすることを大切にするための場所"

new,2021,OCT 10,"/members/","Members Only ← newlifecollection.pe.hu"
new,2021,OCT 1,"/coding/","How to Coding | このウェブサイトの作り方"
